# 2D electrostatic potential on XZ plane
# Columns: X (nm)  Z (nm)  Potential (V)
# Grid: 171 x 171
  0.034343  9.820544  -1.892947e-01
  0.034343  9.881352  1.736770e-01
  0.034343  9.942160  -1.785417e-01
  0.034343  10.002969  -1.601292e-01
  0.034343  10.063777  5.871016e-01
  0.034343  10.124585  4.046180e-02
  0.034343  10.185394  -1.730395e-01
  0.034343  10.246202  -2.347533e-01
  0.034343  10.307010  -1.129381e-01
  0.034343  10.367819  -1.395775e-01

  0.103030  0.030404  -2.802110e-01
  0.103030  0.091212  -1.020552e-03
  0.103030  0.152021  -2.286245e-02
  0.103030  0.212829  -4.029209e-01
  0.103030  0.273637  -2.342753e-01
  0.103030  0.334446  -5.408855e-01
  0.103030  0.395254  -2.903270e-01
  0.103030  0.456062  -7.362435e-01
  0.103030  0.516871  -5.922729e-01
  0.103030  0.577679  -8.299564e-01
  0.103030  0.638487  -1.251229e+00
  0.103030  0.699296  -5.057677e-01
  0.103030  0.760104  -1.947676e-01
  0.103030  0.820912  -1.651325e-01
  0.103030  0.881721  -1.703555e-01
  0.103030  0.942529  -2.789963e-01
  0.103030  1.003337  5.371978e-02
  0.103030  1.064146  -3.574242e-02
  0.103030  1.124954  -8.791394e-02
  0.103030  1.185762  -5.824491e-01
  0.103030  1.246571  -5.059618e-01
  0.103030  1.307379  4.291555e-02
  0.103030  1.368187  -2.730078e-01
  0.103030  1.428996  -9.199425e-01
  0.103030  1.489804  -7.988549e-01
  0.103030  1.550612  -4.571069e-01
  0.103030  1.611421  -4.244748e-01
  0.103030  1.672229  -3.108910e-01
  0.103030  1.733037  -5.841322e-01
  0.103030  1.793845  -5.344529e-01
  0.103030  1.854654  -1.560187e-01
  0.103030  1.915462  -1.826643e-01
  0.103030  1.976270  3.844588e-02
  0.103030  2.037079  -2.759050e-01
  0.103030  2.097887  -2.415647e-01
  0.103030  2.158695  -2.117730e-01
  0.103030  2.219504  2.724886e-01
  0.103030  2.280312  7.202891e-02
  0.103030  2.341120  4.808254e-02
  0.103030  2.401929  1.595080e-01
  0.103030  2.462737  3.771324e-01
  0.103030  2.523545  6.662676e-01
  0.103030  2.584354  1.642276e-01
  0.103030  2.645162  -9.601902e-02
  0.103030  2.705970  -1.640372e-01
  0.103030  2.766779  -3.330103e-01
  0.103030  2.827587  -1.256921e-01
  0.103030  2.888395  -3.152236e-01
  0.103030  2.949204  4.236266e-02
  0.103030  3.010012  2.270667e-01
  0.103030  3.070820  -1.219488e-01
  0.103030  3.131629  -3.084005e-02
  0.103030  3.192437  1.630926e-01
  0.103030  3.253245  4.484853e-01
  0.103030  3.314053  2.079468e-01
  0.103030  3.374862  5.095225e-02
  0.103030  3.435670  1.869219e-01
  0.103030  3.496478  3.621332e-01
  0.103030  3.557287  2.238696e-01
  0.103030  3.618095  4.381469e-01
  0.103030  3.678903  6.276085e-01
  0.103030  3.739712  3.548954e-01
  0.103030  3.800520  3.998871e-01
  0.103030  3.861328  4.289135e-01
  0.103030  3.922137  3.307501e-01
  0.103030  3.982945  2.342045e-01
  0.103030  4.043753  2.930621e-01
  0.103030  4.104562  3.110457e-01
  0.103030  4.165370  3.796675e-01
  0.103030  4.226178  2.870265e-01
  0.103030  4.286987  2.432383e-01
  0.103030  4.347795  3.429528e-01
  0.103030  4.408603  4.413350e-01
  0.103030  4.469412  4.460940e-01
  0.103030  4.530220  4.428033e-01
  0.103030  4.591028  3.538673e-01
  0.103030  4.651837  3.887555e-01
  0.103030  4.712645  4.674273e-01
  0.103030  4.773453  5.114530e-01
  0.103030  4.834262  5.209238e-01
  0.103030  4.895070  4.754873e-01
  0.103030  4.955878  4.788036e-01
  0.103030  5.016686  5.368170e-01
  0.103030  5.077495  5.535063e-01
  0.103030  5.138303  5.591423e-01
  0.103030  5.199111  4.666026e-01
  0.103030  5.259920  3.432901e-01
  0.103030  5.320728  3.353671e-01
  0.103030  5.381536  3.392040e-01
  0.103030  5.442345  2.270943e-01
  0.103030  5.503153  8.057815e-02
  0.103030  5.563961  1.743844e-01
  0.103030  5.624770  1.561578e-01
  0.103030  5.685578  9.759771e-02
  0.103030  5.746386  6.600515e-02
  0.103030  5.807195  8.102794e-02
  0.103030  5.868003  4.777131e-02
  0.103030  5.928811  6.803831e-02
  0.103030  5.989620  1.520324e-03
  0.103030  6.050428  -1.091750e-01
  0.103030  6.111236  -1.258063e-01
  0.103030  6.172045  -7.206803e-02
  0.103030  6.232853  -9.407688e-02
  0.103030  6.293661  -9.140513e-02
  0.103030  6.354470  1.070085e-01
  0.103030  6.415278  9.892014e-02
  0.103030  6.476086  1.455153e-01
  0.103030  6.536894  3.061065e-02
  0.103030  6.597703  -1.997741e-01
  0.103030  6.658511  3.773438e-04
  0.103030  6.719319  -4.898146e-01
  0.103030  6.780128  -7.024731e-01
  0.103030  6.840936  -2.929452e-01
  0.103030  6.901744  -1.713642e-01
  0.103030  6.962553  -1.192902e-01
  0.103030  7.023361  1.194335e-01
  0.103030  7.084169  -8.132747e-02
  0.103030  7.144978  -2.922420e-01
  0.103030  7.205786  -5.356575e-01
  0.103030  7.266594  -5.102634e-01
  0.103030  7.327403  2.620060e-02
  0.103030  7.388211  8.722744e-02
  0.103030  7.449019  -1.284166e-01
  0.103030  7.509828  -5.635637e-01
  0.103030  7.570636  -8.012141e-01
  0.103030  7.631444  -4.091589e-01
  0.103030  7.692253  -4.425327e-02
  0.103030  7.753061  -9.763832e-02
  0.103030  7.813869  -2.481719e-01
  0.103030  7.874678  -5.726003e-01
  0.103030  7.935486  -5.356619e-01
  0.103030  7.996294  -9.398576e-02
  0.103030  8.057103  -3.151102e-02
  0.103030  8.117911  2.984330e-01
  0.103030  8.178719  -9.796080e-02
  0.103030  8.239527  1.070044e-01
  0.103030  8.300336  1.344155e-01
  0.103030  8.361144  9.991179e-02
  0.103030  8.421952  -2.077965e-02
  0.103030  8.482761  4.997359e-02
  0.103030  8.543569  3.074899e-02
  0.103030  8.604377  -1.272756e-01
